id,language,protocol,category,name,description,code,imports_or_contract,notes
54,clarity,multi-dex,pattern,two-step-swap-pattern,"Two-step swap pattern (USDCx -> STX -> Target)","(let ((stx-received (unwrap! (contract-call? 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-v-1-5 swap-helper-a usdcx-amount stx-min-out none false { a: usdcx b: aeusdc } { a: stableswap-pool } { a: aeusdc b: stx } { a: xyk-pool }) ERR-SWAP-FAILED)) (contract-call? target-dex swap stx-received target-min-out))","Pattern","Capture intermediate amount in let binding; use for cross-DEX routes"
55,clarity,multi-dex,pattern,conditional-swap,"Conditional swap execution pattern","(if (> amount u0) (begin (unwrap! (contract-call? dex swap amount min-out ...) ERR-SWAP-FAILED) true) true)","Pattern","Skip swap if amount is zero; useful for multi-token strategies"
56,api,multi-dex,contracts,mainnet-dex-routers,"Mainnet DEX router contract addresses","const DEX_ROUTERS = { bitflow_v12: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-2' bitflow_v15: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-5' bitflow_simple: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-v-1-5' bitflow_stableswap: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-swap-helper-v-1-5' alex_amm: 'SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.amm-pool-v2-01' velar_path: 'SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.path-apply_staging' }","Reference","Production mainnet router addresses"
57,api,multi-dex,contracts,mainnet-pool-addresses,"Mainnet liquidity pool addresses","const POOLS = { usdcx_aeusdc: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-aeusdc-usdcx-v-1-1' stx_aeusdc_v1: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-stx-aeusdc-v-1-1' stx_aeusdc_v2: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-stx-aeusdc-v-1-2' sbtc_stx: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-stx-v-1-1' stx_ststx: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-stx-ststx-v-1-4' usdh_usdcx: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-usdh-usdcx-v-1-1' welsh_stx: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-welsh-stx-v-1-1' sbtc_dog: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-dog-v-1-1' sbtc_droid: 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-droid-v-1-1' }","Reference","Bitflow liquidity pools for common pairs"
58,api,multi-dex,contracts,mainnet-token-addresses,"Mainnet token contract addresses","const TOKENS = { usdcx: 'SP120SBRBQJ00MCWS7TM5R8WJNTTKD5K0HFRC2CNE.usdcx' aeusdc: 'SP3Y2ZSH8P7D50B0VBTSX11S7XSG24M1VB9YFQA4K.token-aeusdc' sbtc: 'SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token' ststx: 'SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token' usdh: 'SPN5AKG35QZSK2M8GAMR4AFX45659RJHDW353HSG.usdh-token-v1' welsh: 'SP3NE50GEXFG9SZGTT51P40X2CKYSZ5CC4ZTZ7A2G.welshcorgicoin-token' leo: 'SP1AY6K3PQV5MRT6R4S671NWW2FRVPKM0BR162CT6.leo-token' dog: 'SP14NS8MVBRHXMM96BQY0727AJ59SWPV7RMHC0NCG.pontis-bridge-DOG' alex: 'SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.token-alex' velar: 'SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.velar-token' wstx_alex: 'SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.token-wstx-v2' wstx_velar: 'SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.wstx' }","Reference","Production token contract addresses"
59,clarity,bitflow,swap,bitflow-v15-swap-helper-a,"Bitflow v1.5 swap-helper-a (ss14 + ss12 + xyk)","(contract-call? 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-5 swap-helper-a amount min-out none false { a: ss14-token-a b: ss14-token-b } { a: ss14-pool } { a: ss12-token-a b: ss12-token-b } { a: ss12-pool } { a: xyk-token-a b: xyk-token-b } { a: xyk-pool })","SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-5","v1.5 router supports both stableswap v1.4 and v1.2 pools"
60,clarity,bitflow,swap,bitflow-v15-stableswap-only,"Bitflow v1.5 swap-helper-c (stableswap only)","(contract-call? 'SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-5 swap-helper-c amount min-out none false { a: ss14-token-a b: ss14-token-b } { a: ss14-pool } { a: ss12-token-a b: ss12-token-b } { a: ss12-pool })","SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.router-stableswap-xyk-multihop-v-1-5","For stablecoin-only routes; lower slippage"
61,clarity,velar,info,velar-path-tuple-format,"Velar path tuple structure","{ a: pool-type b: pool-contract c: pool-id d: token-in e: token-out f: is-reverse }","SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.path-apply_staging","a='u' for univ2; c=pool id (u21 for STX-VELAR); f=true reverses direction"
62,clarity,alex,info,alex-token-factors,"Alex AMM factor values","u100000000","SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.amm-pool-v2-01","Factors are 1e8 (100000000); maintain price ratios in weighted pools"
63,javascript,bitflow,swap,build-bitflow-swap-args,"Build Bitflow swap function arguments","const buildBitflowSwapArgs = (amount minOut ssTokens ssPool xykTokens xykPool) => [uintCV(amount) uintCV(minOut) noneCV() boolCV(false) tupleCV({ a: contractPrincipalCV(...ssTokens.a) b: contractPrincipalCV(...ssTokens.b) }) tupleCV({ a: contractPrincipalCV(...ssPool) }) tupleCV({ a: contractPrincipalCV(...xykTokens.a) b: contractPrincipalCV(...xykTokens.b) }) tupleCV({ a: contractPrincipalCV(...xykPool) })]","import { uintCV noneCV boolCV tupleCV contractPrincipalCV } from '@stacks/transactions'","For swap-helper-a; pass token addresses as [address name] arrays"
64,javascript,bitflow,swap,bitflow-swap-helper-b-args,"Build Bitflow swap-helper-b arguments (3-hop)","const args = [uintCV(amount) uintCV(minOut) noneCV() boolCV(false) tupleCV({ a: cv(ssTokenA) b: cv(ssTokenB) }) tupleCV({ a: cv(ssPool) }) tupleCV({ a: cv(xykTokenA) b: cv(xykTokenB) c: cv(xykTokenC) d: cv(xykTokenD) }) tupleCV({ a: cv(xykPoolA) b: cv(xykPoolB) })]","import { uintCV noneCV boolCV tupleCV contractPrincipalCV as cv } from '@stacks/transactions'","3-hop: stableswap + 2 XYK pools; use for USDCx->sBTC routes"
65,javascript,alex,swap,alex-sdk-quote,"Get swap quote from Alex SDK","const alexSDK = new AlexSDK(); const tokenInfo = await alexSDK.fetchTokenInfo(tokenId); const fromAmount = BigInt(Math.floor(amount * Math.pow(10 decimals))); const amountTo = await alexSDK.getAmountTo(Currency.STX fromAmount tokenInfo.id); return { amountOut: Number(amountTo) / Math.pow(10 outputDecimals) route: tokenInfo }","import AlexSDK { Currency } from 'alex-sdk'","Currency.STX for native STX; fetchTokenInfo for other tokens"
66,javascript,velar,swap,velar-sdk-swap,"Build Velar swap via SDK","const velarSDK = new VelarSDK(); const inToken = fromToken === 'STX' ? 'SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.wstx' : fromContractId; const swapInstance = await velarSDK.getSwapInstance({ account: senderAddress inToken outToken: toContractId }); const swapOptions = await swapInstance.swap({ amount slippage: 1.0 })","import VelarSDK from '@velar/sdk'","Velar uses wSTX not native STX; SDK handles routing"
67,javascript,multi-dex,quote,batch-quote-strategy,"Batch quote fetching for portfolio strategies","const getStrategyQuotes = async (amount allocations) => { const quotes = Object.entries(allocations).filter(([_ pct]) => pct > 0).map(([token pct]) => ({ toToken: token amount: amount * pct / 100 })); const responses = await Promise.all(quotes.map(q => fetch('/api/quote' { method: 'POST' body: JSON.stringify({ fromToken: 'USDCx' ...q }) }))); return Promise.all(responses.map(r => r.json())) }","fetch","Fetch quotes in parallel for portfolio allocation"
68,javascript,multi-dex,slippage,calculate-min-output,"Calculate min output with slippage","const calculateMinOutput = (expectedAmount slippagePct = 1) => { const slippageFactor = 1 - (slippagePct / 100); return Math.floor(expectedAmount * slippageFactor) }","None","Default 1% slippage; use 2-3% for volatile pairs"
69,javascript,bitflow,contracts,bitflow-contract-constants,"Bitflow contract address constants","const BITFLOW = { ROUTER_V12: ['SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR' 'router-stableswap-xyk-multihop-v-1-2'] ROUTER_V15: ['SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR' 'router-stableswap-xyk-multihop-v-1-5'] SS_USDCX_AEUSDC: ['SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR' 'stableswap-pool-aeusdc-usdcx-v-1-1'] XYK_STX_AEUSDC: ['SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR' 'xyk-pool-stx-aeusdc-v-1-2'] XYK_SBTC_STX: ['SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR' 'xyk-pool-sbtc-stx-v-1-1'] }","Reference","Store as [address name] tuples for contractPrincipalCV"
70,javascript,multi-dex,tx,build-strategy-investment-tx,"Build multi-token investment transaction","const buildInvestmentTx = async (strategy amount quotes) => { const args = buildStrategyArgs(strategy amount quotes); return makeContractCall({ contractAddress: CONTRACT_ADDRESS contractName: CONTRACT_NAME functionName: `invest-${strategy}` functionArgs: args network: 'mainnet' postConditions: buildPostConditions(amount) }) }","import { makeContractCall } from '@stacks/transactions'","Strategy names: bitcoin-maxi meme-hunter defi-yield stacks-believer"
71,javascript,usdcx,conversion,micro-units-helpers,"USDCx micro-unit conversion helpers","const toMicroUnits = (amount decimals = 6) => Math.floor(amount * Math.pow(10 decimals)); const fromMicroUnits = (micro decimals = 6) => micro / Math.pow(10 decimals); const formatUsdcx = (micro) => `$${fromMicroUnits(micro).toLocaleString('en-US' { minimumFractionDigits: 2 maximumFractionDigits: 2 })}`","None","USDCx has 6 decimals; 1 USDC = 1000000 micro-units"
72,javascript,bitflow,quote,bitflow-sdk-init,"Initialize Bitflow SDK for quotes","const bitflowSDK = new BitflowSDK({ BITFLOW_API_HOST: 'https://api.bitflowapis.finance/' BITFLOW_API_KEY: process.env.BITFLOW_API_KEY || '' READONLY_CALL_API_HOST: 'https://node.bitflowapis.finance/' READONLY_CALL_API_KEY: process.env.BITFLOW_READONLY_API_KEY || '' KEEPER_API_HOST: 'https://keeper.bitflowapis.finance/' KEEPER_API_KEY: process.env.BITFLOW_API_KEY || '' })","import { BitflowSDK } from '@bitflowlabs/core-sdk'","Requires API keys from Bitflow; READONLY for quotes KEEPER for execution"
73,javascript,bitflow,quote,bitflow-get-quote,"Get swap quote from Bitflow SDK","const quote = await bitflowSDK.getQuoteForRoute('token-aeusdc' bitflowTokenId amount); let amountOutMicro; if (typeof quote === 'object' && 'quote' in quote) { amountOutMicro = Number(quote.quote) } else if (typeof quote === 'bigint') { amountOutMicro = Number(quote) } else { amountOutMicro = quote }","import { BitflowSDK } from '@bitflowlabs/core-sdk'","Amount is human-readable (e.g. 100 for $100); returns micro-units"
74,javascript,bitflow,quote,bitflow-token-ids,"Bitflow SDK token identifiers for routing","const BITFLOW_TOKEN_IDS = { STX: 'token-stx-auto' sBTC: 'token-sbtc-auto' USDH: 'token-usdh-auto' stSTX: 'token-ststx-auto' WELSH: 'token-welsh-auto' LEO: 'token-leo-auto' DOG: 'token-dog-auto' DROID: 'token-DROID-auto' VELAR: 'token-velar' }","Reference","Use 'token-aeusdc' as source (Bitflow doesn't support USDCx directly)"
75,javascript,alex,quote,alex-sdk-init,"Initialize Alex SDK for quotes","const alexSDK = new AlexSDK()","import { AlexSDK Currency TokenInfo } from 'alex-sdk'","No config needed; SDK handles API connections"
76,javascript,alex,quote,alex-get-quote,"Get swap quote from Alex SDK","const amountInMicro = BigInt(Math.floor(amount * 100_000_000)); const aUSD = await alexSDK.fetchTokenInfo('SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.token-susdt::aUSD'); const amountOut = await alexSDK.getAmountTo(aUSD.id amountInMicro Currency.ALEX); const amountOutHuman = Number(amountOut) / 100_000_000","import { AlexSDK Currency TokenInfo } from 'alex-sdk'","All Alex tokens use 8 decimals; aUSD is the USDC equivalent"
77,javascript,alex,quote,alex-reverse-quote,"Get reverse quote from Alex (token -> USD)","const amountInMicro = BigInt(Math.floor(amount * 100_000_000)); const aUSD = await alexSDK.fetchTokenInfo('SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.token-susdt::aUSD'); const amountOut = await alexSDK.getAmountTo(Currency.ALEX amountInMicro aUSD.id); const usdValue = Number(amountOut) / 100_000_000","import { AlexSDK Currency } from 'alex-sdk'","Reverse: swap ALEX for aUSD; useful for sell quotes"
78,javascript,bitflow,quote,bitflow-reverse-quote,"Get reverse quote from Bitflow (token -> USDC)","const quote = await bitflowSDK.getQuoteForRoute(bitflowTokenId 'token-aeusdc' amount); const amountOutMicro = typeof quote === 'object' ? Number(quote.quote) : Number(quote); const usdValue = amountOutMicro / 1_000_000","import { BitflowSDK } from '@bitflowlabs/core-sdk'","Reverse route for selling; aeUSDC has 6 decimals"
79,javascript,multi-dex,quote,token-decimals-map,"Token decimal places for conversions","const TOKEN_DECIMALS = { STX: 6 sBTC: 8 USDH: 8 stSTX: 6 WELSH: 6 LEO: 6 DOG: 8 DROID: 6 ALEX: 8 VELAR: 6 USDCx: 6 }","Reference","Critical for micro-unit conversions; sBTC/DOG/ALEX use 8 decimals"
80,javascript,multi-dex,quote,normalize-token-symbol,"Normalize token symbol for lookups","function normalizeTokenSymbol(symbol) { const upper = symbol.toUpperCase(); const map = { 'SBTC': 'sBTC' 'STSTX': 'stSTX' 'USDCX': 'USDCx' }; return map[upper] || symbol }","None","Strategy uses lowercase but lookups need mixed case"
81,javascript,multi-dex,quote,unified-quote-function,"Unified quote function with fallback","async function getQuote(fromToken toToken amount) { const normalized = normalizeTokenSymbol(toToken); if (normalized === 'ALEX') { const alexQuote = await getAlexQuote(toToken amount); if (alexQuote) return alexQuote } const bitflowQuote = await getBitflowQuote(toToken amount); if (bitflowQuote) return bitflowQuote; return getFallbackQuote(toToken amount) }","None","Try Alex for ALEX token; Bitflow for others; fallback if SDK fails"
82,javascript,multi-dex,quote,fallback-quote-calculation,"Calculate fallback quote from price","async function getFallbackQuote(toToken amount) { const decimals = TOKEN_DECIMALS[toToken] || 6; const price = await getTokenPrice(toToken); const rate = price > 0 ? (1 / price) : FALLBACK_RATES[toToken]; const amountOut = Math.floor(amount * rate * Math.pow(10 decimals) * 0.97); return { amountOut source: 'fallback' } }","None","3% slippage buffer; rate = tokens per $1 = 1/price"
83,javascript,multi-dex,quote,batch-quote-endpoint,"Batch quote API endpoint","export async function PUT(request) { const { quotes } = await request.json(); const results = []; let totalUsdValue = 0; for (const { fromToken = 'USDCx' toToken amount } of quotes) { const quote = await getQuote(fromToken toToken amount); results.push(quote); totalUsdValue += quote.usdValue } return NextResponse.json({ success: true results totalUsdValue }) }","import { NextResponse } from 'next/server'","Process quotes sequentially to avoid rate limiting"
84,javascript,multi-dex,quote,price-cache-pattern,"Price caching with TTL","let pricesCache = null; const CACHE_DURATION = 60 * 1000; async function fetchRealPrices() { const now = Date.now(); if (pricesCache && now - pricesCache.timestamp < CACHE_DURATION) { return pricesCache.data } const response = await fetch('/api/token-prices'); const data = await response.json(); pricesCache = { data: prices timestamp: now }; return prices }","None","1 minute cache; prevents excessive API calls"
85,api,multi-dex,quote,quote-api-endpoints,"Quote API endpoint structure","POST /api/quote { fromToken: 'USDCx' toToken: 'STX' amount: 100 } -> { success: true quote: { amountIn amountOut amountOutFormatted usdValue price source } }; PUT /api/quote { quotes: [...] } -> { success: true results: [...] totalUsdValue }; GET /api/quote?fromToken=STX&amount=10 -> reverse quote","REST API","POST=single quote PUT=batch quotes GET=reverse quote (sell)"
86,api,bitflow,quote,bitflow-api-hosts,"Bitflow API endpoints","const BITFLOW_HOSTS = { api: 'https://api.bitflowapis.finance/' node: 'https://node.bitflowapis.finance/' keeper: 'https://keeper.bitflowapis.finance/' }","Reference","api=general node=readonly-calls keeper=execution"
87,javascript,multi-dex,quote,quote-result-interface,"Quote result TypeScript interface","interface QuoteResult { fromToken: string toToken: string amountIn: number amountOut: number amountOutFormatted: string usdValue: number price: number source: 'bitflow' | 'alex' | 'fallback' priceImpact?: number }","TypeScript","Standard quote response format across all AMMs"
